"This account is not activated.","This account is not activated."
"Is activated","Is activated"
"Deactivated","Deactivated"
"Activated","Activated"
"Customer Activation","Customer Activation"
"Disable CustomerActivation","Disable Extension"
"Please wait for your account to be activated","Please wait for your account to be activated"
"Customer Registration Admin Notification","Customer Registration Admin Notification"
"Customer Activation Notification","Customer Activation Notification"
"Notify Admin on Customer Registration","Notify Admin on Customer Registration"
"Admin Email Address","Admin Email Address"
"Admin Notification Email Template","Admin Notification Email Template"
"Notify Customer of Account Activation","Notify Customer of Account Activation"
"Customer Notification Email Template","Customer Notification Email Template"
"Always enable in admin interface","Always enable in admin interface"
"If you want to activate accounts created via the admin interface","If you want to activate accounts created via the admin interface"
"Activate new Customer Accounts by Default","Activate new Customer Accounts by Default"
"Always send Admin Notification","Always send Admin Notification"
"Send the Admin notification email even if new accounts are activated by default","Send the Admin notification email even if new accounts are activated by default"
"Customer Activated","Customer Activated"
"Yes","Yes"
"Yes (With Notification)","Yes (With Notification)"
"Yes (No Notification)","Yes (No Notification)"
"No","No"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully saved","Total of %d record(s) were successfully saved"
