"This account is not activated.","このアカウントは有効化されていません。"
"Is activated","有効"
"Deactivated","無効"
"Activated","有効"
"Customer Activation","顧客の有効化"
"Disable CustomerActivation","CustomerActivationエクステンションを使用できないようにする"
"Please wait for your account to be activated","アカウントが有効化されるのをお待ちください。"
"Customer Registration Admin Notification","顧客新規登録のお知らせ"
"Customer Activation Notification","有効化のお知らせ"
"Notify Admin on Customer Registration","顧客新規登録があったら管理者へ連絡する"
"Admin Email Address","管理者のメールアドレス"
"Admin Notification Email Template","管理者へのお知らせのテンプレート"
"Notify Customer of Account Activation","アカウントが有効化されたら顧客へ連絡する"
"Customer Notification Email Template","顧客へのお知らせのテンプレート"
"Always enable in admin interface","管理パネルで常に有効化の設定をできるようにする"
"If you want to activate accounts created via the admin interface","管理パネルから作成した顧客も有効化できるようになります。"

