"This account is not activated.","Denne brukerkontoen er deaktivert."
"Is activated","Er aktivert"
"Deactivated","Deaktivert"
"Activated","Aktivert"
"Customer Activation","Kundeaktivering"
"Disable CustomerActivation","Deaktiver kundeaktivering"
"Please wait for your account to be activated","Vennligst vent til vi aktiverer brukerkontoen din"
"Customer Registration Admin Notification","Kunderegistrering - varsel til administrator"
"Customer Activation Notification","Varsling ved kundeaktivering"
"Notify Admin on Customer Registration","Varsle administrator når kunde registrerer seg"
"Admin Email Address","Administrators e-postadresse"
"Admin Notification Email Template","E-postmal for administratorvarsel"
"Notify Customer of Account Activation","Varsle kunde når konto aktiveres"
"Customer Notification Email Template","E-postmal for kundevarsling"
"Always enable in admin interface","Alltid aktiver i administratorgrensesnitt"
"If you want to activate accounts created via the admin interface","Hvis du vil aktivere kontoer lagd via administratorgrensesnittet"
"Activate new Customer Accounts by Default","Aktiver nye kunder umiddelbart"
"Always send Admin Notification","Alltid send administratorvarsling"
"Send the Admin notification email even if new accounts are activated by default","Send varsling til administrator selv om nye kontoer aktiveres umiddelbart"
"Customer Activated","Brukerkonto aktivert"
"Yes","Ja"
"Yes (With Notification)","Ja (med varsling)"
"Yes (No Notification)","Ja (uten varsling)"
"No","Nei"
"Please select item(s)","Vennligst velg rad(er)"
"Total of %d record(s) were successfully saved","%d rad(er) ble oppdatert"
