"This account is not activated.","Esta conta está desativada."
"Is activated","Está ativo"
"Deactivated","Desativar"
"Activated","Ativo"
"Customer Activation","Ativação de cliente"
"Disable CustomerActivation","Desabilitar CustomerActivation"
"Please wait for your account to be activated","Por favor espere que sua conta seja ativada"
"Customer Registration Admin Notification","Aviso para administrador de cadastro de cliente"
"Customer Activation Notification","Aviso de ativação de cliente"
"Notify Admin on Customer Registration","Avisar administrador quando ocorrer novo cadastro de cliente"
"Admin Email Address","Endereço de email do administrador"
"Admin Notification Email Template","Template de email de aviso para administrador"
"Notify Customer of Account Activation","Avisar cliente ao ativar a conta"
"Customer Notification Email Template","Template de email de aviso para cliente"
"Always enable in admin interface","Sempre habilitar na interface administrativa"
"If you want to activate accounts created via the admin interface","Se você quer ativar contas criadas pela interface administrativa"
"Activate new Customer Accounts by Default","Ativar novas contas de cliente por padrão"
"Always send Admin Notification","Sempre enviar aviso para Administrador"
"Send the Admin notification email even if new accounts are activated by default","Enviar para Administrador aviso de email mesmo se novas contas são ativas por padrão"
"Customer Activated","Cliente ativo"
"Yes","Sim"
"No","Não"
"Please select item(s)","Por favor selecione algum item"
"Total of %d record(s) were successfully saved","Total de %d registro(s) foram salvos com sucesso"
